Iteration,E,nu,RMSE
1,10,0.1,5.60E-08
2,10,0.10975,5.60E-08
3,10,0.1195,5.60E-08
4,10,0.12925,5.60E-08
5,10,0.139,5.60E-08
6,10,0.14875,5.60E-08
7,10,0.1585,5.60E-08
8,10,0.16825,5.60E-08
9,10,0.178,5.60E-08
10,10,0.18775,5.60E-08
11,10,0.1975,5.60E-08
12,10,0.20725,5.60E-08
13,10,0.217,5.60E-08
14,10,0.22675,5.60E-08
15,10,0.2365,5.60E-08
16,10,0.24625,5.60E-08
17,10,0.256,5.60E-08
18,10,0.26575,5.60E-08
19,10,0.2755,5.60E-08
20,10,0.28525,5.60E-08
21,10,0.295,5.60E-08
22,10,0.30475,5.60E-08
23,10,0.3145,5.60E-08
24,10,0.32425,5.60E-08
25,10,0.334,5.60E-08
26,10,0.34375,5.60E-08
27,10,0.3535,5.60E-08
28,10,0.36325,5.60E-08
29,10,0.373,5.60E-08
30,10,0.38275,5.60E-08
31,10,0.3925,5.60E-08
32,10,0.40225,5.60E-08
33,10,0.412,5.60E-08
34,10,0.42175,5.60E-08
35,10,0.4315,5.60E-08
36,10,0.44125,5.60E-08
37,10,0.451,5.60E-08
38,10,0.46075,5.60E-08
39,10,0.4705,5.60E-08
40,10,0.48025,5.60E-08
41,10,0.49,5.60E-08
42,134.75,0.1,5.36E-08
43,134.75,0.10975,5.36E-08
44,134.75,0.1195,5.36E-08
45,134.75,0.12925,5.36E-08
46,134.75,0.139,5.36E-08
47,134.75,0.14875,5.36E-08
48,134.75,0.1585,5.35E-08
49,134.75,0.16825,5.35E-08
50,134.75,0.178,5.35E-08
51,134.75,0.18775,5.35E-08
52,134.75,0.1975,5.35E-08
53,134.75,0.20725,5.35E-08
54,134.75,0.217,5.35E-08
55,134.75,0.22675,5.34E-08
56,134.75,0.2365,5.34E-08
57,134.75,0.24625,5.34E-08
58,134.75,0.256,5.34E-08
59,134.75,0.26575,5.34E-08
60,134.75,0.2755,5.34E-08
61,134.75,0.28525,5.33E-08
62,134.75,0.295,5.33E-08
63,134.75,0.30475,5.33E-08
64,134.75,0.3145,5.33E-08
65,134.75,0.32425,5.33E-08
66,134.75,0.334,5.32E-08
67,134.75,0.34375,5.32E-08
68,134.75,0.3535,5.32E-08
69,134.75,0.36325,5.32E-08
70,134.75,0.373,5.32E-08
71,134.75,0.38275,5.32E-08
72,134.75,0.3925,5.31E-08
73,134.75,0.40225,5.31E-08
74,134.75,0.412,5.31E-08
75,134.75,0.42175,5.31E-08
76,134.75,0.4315,5.31E-08
77,134.75,0.44125,5.30E-08
78,134.75,0.451,5.30E-08
79,134.75,0.46075,5.30E-08
80,134.75,0.4705,5.30E-08
81,134.75,0.48025,5.30E-08
82,134.75,0.49,5.30E-08
83,259.5,0.1,5.12E-08
84,259.5,0.10975,5.12E-08
85,259.5,0.1195,5.12E-08
86,259.5,0.12925,5.12E-08
87,259.5,0.139,5.11E-08
88,259.5,0.14875,5.11E-08
89,259.5,0.1585,5.11E-08
90,259.5,0.16825,5.11E-08
91,259.5,0.178,5.10E-08
92,259.5,0.18775,5.10E-08
93,259.5,0.1975,5.10E-08
94,259.5,0.20725,5.09E-08
95,259.5,0.217,5.09E-08
96,259.5,0.22675,5.09E-08
97,259.5,0.2365,5.09E-08
98,259.5,0.24625,5.08E-08
99,259.5,0.256,5.08E-08
100,259.5,0.26575,5.08E-08
101,259.5,0.2755,5.07E-08
102,259.5,0.28525,5.07E-08
103,259.5,0.295,5.07E-08
104,259.5,0.30475,5.06E-08
105,259.5,0.3145,5.06E-08
106,259.5,0.32425,5.06E-08
107,259.5,0.334,5.05E-08
108,259.5,0.34375,5.05E-08
109,259.5,0.3535,5.05E-08
110,259.5,0.36325,5.04E-08
111,259.5,0.373,5.04E-08
112,259.5,0.38275,5.03E-08
113,259.5,0.3925,5.03E-08
114,259.5,0.40225,5.03E-08
115,259.5,0.412,5.02E-08
116,259.5,0.42175,5.02E-08
117,259.5,0.4315,5.02E-08
118,259.5,0.44125,5.01E-08
119,259.5,0.451,5.01E-08
120,259.5,0.46075,5.01E-08
121,259.5,0.4705,5.00E-08
122,259.5,0.48025,5.00E-08
123,259.5,0.49,5.00E-08
124,384.25,0.1,4.89E-08
125,384.25,0.10975,4.88E-08
126,384.25,0.1195,4.88E-08
127,384.25,0.12925,4.88E-08
128,384.25,0.139,4.87E-08
129,384.25,0.14875,4.87E-08
130,384.25,0.1585,4.86E-08
131,384.25,0.16825,4.86E-08
132,384.25,0.178,4.86E-08
133,384.25,0.18775,4.85E-08
134,384.25,0.1975,4.85E-08
135,384.25,0.20725,4.84E-08
136,384.25,0.217,4.84E-08
137,384.25,0.22675,4.83E-08
138,384.25,0.2365,4.83E-08
139,384.25,0.24625,4.82E-08
140,384.25,0.256,4.82E-08
141,384.25,0.26575,4.82E-08
142,384.25,0.2755,4.81E-08
143,384.25,0.28525,4.81E-08
144,384.25,0.295,4.80E-08
145,384.25,0.30475,4.80E-08
146,384.25,0.3145,4.79E-08
147,384.25,0.32425,4.79E-08
148,384.25,0.334,4.78E-08
149,384.25,0.34375,4.77E-08
150,384.25,0.3535,4.77E-08
151,384.25,0.36325,4.76E-08
152,384.25,0.373,4.76E-08
153,384.25,0.38275,4.75E-08
154,384.25,0.3925,4.75E-08
155,384.25,0.40225,4.74E-08
156,384.25,0.412,4.74E-08
157,384.25,0.42175,4.73E-08
158,384.25,0.4315,4.73E-08
159,384.25,0.44125,4.72E-08
160,384.25,0.451,4.72E-08
161,384.25,0.46075,4.71E-08
162,384.25,0.4705,4.71E-08
163,384.25,0.48025,4.70E-08
164,384.25,0.49,4.70E-08
165,509,0.1,4.65E-08
166,509,0.10975,4.64E-08
167,509,0.1195,4.64E-08
168,509,0.12925,4.63E-08
169,509,0.139,4.63E-08
170,509,0.14875,4.62E-08
171,509,0.1585,4.62E-08
172,509,0.16825,4.61E-08
173,509,0.178,4.61E-08
174,509,0.18775,4.60E-08
175,509,0.1975,4.60E-08
176,509,0.20725,4.59E-08
177,509,0.217,4.59E-08
178,509,0.22675,4.58E-08
179,509,0.2365,4.57E-08
180,509,0.24625,4.57E-08
181,509,0.256,4.56E-08
182,509,0.26575,4.55E-08
183,509,0.2755,4.55E-08
184,509,0.28525,4.54E-08
185,509,0.295,4.53E-08
186,509,0.30475,4.53E-08
187,509,0.3145,4.52E-08
188,509,0.32425,4.51E-08
189,509,0.334,4.51E-08
190,509,0.34375,4.50E-08
191,509,0.3535,4.49E-08
192,509,0.36325,4.49E-08
193,509,0.373,4.48E-08
194,509,0.38275,4.47E-08
195,509,0.3925,4.47E-08
196,509,0.40225,4.46E-08
197,509,0.412,4.45E-08
198,509,0.42175,4.44E-08
199,509,0.4315,4.44E-08
200,509,0.44125,4.43E-08
201,509,0.451,4.42E-08
202,509,0.46075,4.42E-08
203,509,0.4705,4.41E-08
204,509,0.48025,4.40E-08
205,509,0.49,4.40E-08
206,633.75,0.1,4.41E-08
207,633.75,0.10975,4.40E-08
208,633.75,0.1195,4.40E-08
209,633.75,0.12925,4.39E-08
210,633.75,0.139,4.39E-08
211,633.75,0.14875,4.38E-08
212,633.75,0.1585,4.37E-08
213,633.75,0.16825,4.37E-08
214,633.75,0.178,4.36E-08
215,633.75,0.18775,4.35E-08
216,633.75,0.1975,4.35E-08
217,633.75,0.20725,4.34E-08
218,633.75,0.217,4.33E-08
219,633.75,0.22675,4.32E-08
220,633.75,0.2365,4.32E-08
221,633.75,0.24625,4.31E-08
222,633.75,0.256,4.30E-08
223,633.75,0.26575,4.29E-08
224,633.75,0.2755,4.29E-08
225,633.75,0.28525,4.28E-08
226,633.75,0.295,4.27E-08
227,633.75,0.30475,4.26E-08
228,633.75,0.3145,4.25E-08
229,633.75,0.32425,4.24E-08
230,633.75,0.334,4.23E-08
231,633.75,0.34375,4.23E-08
232,633.75,0.3535,4.22E-08
233,633.75,0.36325,4.21E-08
234,633.75,0.373,4.20E-08
235,633.75,0.38275,4.19E-08
236,633.75,0.3925,4.18E-08
237,633.75,0.40225,4.17E-08
238,633.75,0.412,4.16E-08
239,633.75,0.42175,4.16E-08
240,633.75,0.4315,4.15E-08
241,633.75,0.44125,4.14E-08
242,633.75,0.451,4.13E-08
243,633.75,0.46075,4.12E-08
244,633.75,0.4705,4.11E-08
245,633.75,0.48025,4.10E-08
246,633.75,0.49,4.10E-08
247,758.5,0.1,4.17E-08
248,758.5,0.10975,4.16E-08
249,758.5,0.1195,4.16E-08
250,758.5,0.12925,4.15E-08
251,758.5,0.139,4.14E-08
252,758.5,0.14875,4.14E-08
253,758.5,0.1585,4.13E-08
254,758.5,0.16825,4.12E-08
255,758.5,0.178,4.11E-08
256,758.5,0.18775,4.10E-08
257,758.5,0.1975,4.10E-08
258,758.5,0.20725,4.09E-08
259,758.5,0.217,4.08E-08
260,758.5,0.22675,4.07E-08
261,758.5,0.2365,4.06E-08
262,758.5,0.24625,4.05E-08
263,758.5,0.256,4.04E-08
264,758.5,0.26575,4.03E-08
265,758.5,0.2755,4.02E-08
266,758.5,0.28525,4.01E-08
267,758.5,0.295,4.00E-08
268,758.5,0.30475,3.99E-08
269,758.5,0.3145,3.98E-08
270,758.5,0.32425,3.97E-08
271,758.5,0.334,3.96E-08
272,758.5,0.34375,3.95E-08
273,758.5,0.3535,3.94E-08
274,758.5,0.36325,3.93E-08
275,758.5,0.373,3.92E-08
276,758.5,0.38275,3.91E-08
277,758.5,0.3925,3.90E-08
278,758.5,0.40225,3.89E-08
279,758.5,0.412,3.88E-08
280,758.5,0.42175,3.87E-08
281,758.5,0.4315,3.86E-08
282,758.5,0.44125,3.85E-08
283,758.5,0.451,3.84E-08
284,758.5,0.46075,3.83E-08
285,758.5,0.4705,3.82E-08
286,758.5,0.48025,3.81E-08
287,758.5,0.49,3.80E-08
288,883.25,0.1,3.93E-08
289,883.25,0.10975,3.92E-08
290,883.25,0.1195,3.92E-08
291,883.25,0.12925,3.91E-08
292,883.25,0.139,3.90E-08
293,883.25,0.14875,3.89E-08
294,883.25,0.1585,3.88E-08
295,883.25,0.16825,3.87E-08
296,883.25,0.178,3.86E-08
297,883.25,0.18775,3.85E-08
298,883.25,0.1975,3.84E-08
299,883.25,0.20725,3.83E-08
300,883.25,0.217,3.82E-08
301,883.25,0.22675,3.81E-08
302,883.25,0.2365,3.80E-08
303,883.25,0.24625,3.79E-08
304,883.25,0.256,3.78E-08
305,883.25,0.26575,3.77E-08
306,883.25,0.2755,3.76E-08
307,883.25,0.28525,3.75E-08
308,883.25,0.295,3.74E-08
309,883.25,0.30475,3.73E-08
310,883.25,0.3145,3.71E-08
311,883.25,0.32425,3.70E-08
312,883.25,0.334,3.69E-08
313,883.25,0.34375,3.68E-08
314,883.25,0.3535,3.67E-08
315,883.25,0.36325,3.65E-08
316,883.25,0.373,3.64E-08
317,883.25,0.38275,3.63E-08
318,883.25,0.3925,3.62E-08
319,883.25,0.40225,3.60E-08
320,883.25,0.412,3.59E-08
321,883.25,0.42175,3.58E-08
322,883.25,0.4315,3.57E-08
323,883.25,0.44125,3.55E-08
324,883.25,0.451,3.54E-08
325,883.25,0.46075,3.53E-08
326,883.25,0.4705,3.52E-08
327,883.25,0.48025,3.51E-08
328,883.25,0.49,3.50E-08
329,1008,0.1,3.69E-08
330,1008,0.10975,3.69E-08
331,1008,0.1195,3.68E-08
332,1008,0.12925,3.67E-08
333,1008,0.139,3.66E-08
334,1008,0.14875,3.65E-08
335,1008,0.1585,3.64E-08
336,1008,0.16825,3.63E-08
337,1008,0.178,3.62E-08
338,1008,0.18775,3.61E-08
339,1008,0.1975,3.59E-08
340,1008,0.20725,3.58E-08
341,1008,0.217,3.57E-08
342,1008,0.22675,3.56E-08
343,1008,0.2365,3.55E-08
344,1008,0.24625,3.54E-08
345,1008,0.256,3.52E-08
346,1008,0.26575,3.51E-08
347,1008,0.2755,3.50E-08
348,1008,0.28525,3.48E-08
349,1008,0.295,3.47E-08
350,1008,0.30475,3.46E-08
351,1008,0.3145,3.44E-08
352,1008,0.32425,3.43E-08
353,1008,0.334,3.42E-08
354,1008,0.34375,3.40E-08
355,1008,0.3535,3.39E-08
356,1008,0.36325,3.38E-08
357,1008,0.373,3.36E-08
358,1008,0.38275,3.35E-08
359,1008,0.3925,3.33E-08
360,1008,0.40225,3.32E-08
361,1008,0.412,3.31E-08
362,1008,0.42175,3.29E-08
363,1008,0.4315,3.28E-08
364,1008,0.44125,3.26E-08
365,1008,0.451,3.25E-08
366,1008,0.46075,3.24E-08
367,1008,0.4705,3.22E-08
368,1008,0.48025,3.21E-08
369,1008,0.49,3.20E-08
370,1132.75,0.1,3.46E-08
371,1132.75,0.10975,3.45E-08
372,1132.75,0.1195,3.44E-08
373,1132.75,0.12925,3.43E-08
374,1132.75,0.139,3.41E-08
375,1132.75,0.14875,3.40E-08
376,1132.75,0.1585,3.39E-08
377,1132.75,0.16825,3.38E-08
378,1132.75,0.178,3.37E-08
379,1132.75,0.18775,3.36E-08
380,1132.75,0.1975,3.34E-08
381,1132.75,0.20725,3.33E-08
382,1132.75,0.217,3.32E-08
383,1132.75,0.22675,3.30E-08
384,1132.75,0.2365,3.29E-08
385,1132.75,0.24625,3.28E-08
386,1132.75,0.256,3.26E-08
387,1132.75,0.26575,3.25E-08
388,1132.75,0.2755,3.24E-08
389,1132.75,0.28525,3.22E-08
390,1132.75,0.295,3.21E-08
391,1132.75,0.30475,3.19E-08
392,1132.75,0.3145,3.18E-08
393,1132.75,0.32425,3.16E-08
394,1132.75,0.334,3.14E-08
395,1132.75,0.34375,3.13E-08
396,1132.75,0.3535,3.11E-08
397,1132.75,0.36325,3.10E-08
398,1132.75,0.373,3.08E-08
399,1132.75,0.38275,3.07E-08
400,1132.75,0.3925,3.05E-08
401,1132.75,0.40225,3.04E-08
402,1132.75,0.412,3.02E-08
403,1132.75,0.42175,3.00E-08
404,1132.75,0.4315,2.99E-08
405,1132.75,0.44125,2.97E-08
406,1132.75,0.451,2.96E-08
407,1132.75,0.46075,2.94E-08
408,1132.75,0.4705,2.93E-08
409,1132.75,0.48025,2.91E-08
410,1132.75,0.49,2.90E-08
411,1257.5,0.1,3.22E-08
412,1257.5,0.10975,3.21E-08
413,1257.5,0.1195,3.20E-08
414,1257.5,0.12925,3.18E-08
415,1257.5,0.139,3.17E-08
416,1257.5,0.14875,3.16E-08
417,1257.5,0.1585,3.15E-08
418,1257.5,0.16825,3.13E-08
419,1257.5,0.178,3.12E-08
420,1257.5,0.18775,3.11E-08
421,1257.5,0.1975,3.09E-08
422,1257.5,0.20725,3.08E-08
423,1257.5,0.217,3.06E-08
424,1257.5,0.22675,3.05E-08
425,1257.5,0.2365,3.04E-08
426,1257.5,0.24625,3.02E-08
427,1257.5,0.256,3.00E-08
428,1257.5,0.26575,2.99E-08
429,1257.5,0.2755,2.97E-08
430,1257.5,0.28525,2.96E-08
431,1257.5,0.295,2.94E-08
432,1257.5,0.30475,2.92E-08
433,1257.5,0.3145,2.91E-08
434,1257.5,0.32425,2.89E-08
435,1257.5,0.334,2.87E-08
436,1257.5,0.34375,2.86E-08
437,1257.5,0.3535,2.84E-08
438,1257.5,0.36325,2.82E-08
439,1257.5,0.373,2.80E-08
440,1257.5,0.38275,2.79E-08
441,1257.5,0.3925,2.77E-08
442,1257.5,0.40225,2.75E-08
443,1257.5,0.412,2.73E-08
444,1257.5,0.42175,2.72E-08
445,1257.5,0.4315,2.70E-08
446,1257.5,0.44125,2.68E-08
447,1257.5,0.451,2.66E-08
448,1257.5,0.46075,2.65E-08
449,1257.5,0.4705,2.63E-08
450,1257.5,0.48025,2.61E-08
451,1257.5,0.49,2.60E-08
452,1382.25,0.1,2.98E-08
453,1382.25,0.10975,2.97E-08
454,1382.25,0.1195,2.96E-08
455,1382.25,0.12925,2.94E-08
456,1382.25,0.139,2.93E-08
457,1382.25,0.14875,2.92E-08
458,1382.25,0.1585,2.90E-08
459,1382.25,0.16825,2.89E-08
460,1382.25,0.178,2.87E-08
461,1382.25,0.18775,2.86E-08
462,1382.25,0.1975,2.84E-08
463,1382.25,0.20725,2.83E-08
464,1382.25,0.217,2.81E-08
465,1382.25,0.22675,2.80E-08
466,1382.25,0.2365,2.78E-08
467,1382.25,0.24625,2.76E-08
468,1382.25,0.256,2.75E-08
469,1382.25,0.26575,2.73E-08
470,1382.25,0.2755,2.71E-08
471,1382.25,0.28525,2.69E-08
472,1382.25,0.295,2.67E-08
473,1382.25,0.30475,2.66E-08
474,1382.25,0.3145,2.64E-08
475,1382.25,0.32425,2.62E-08
476,1382.25,0.334,2.60E-08
477,1382.25,0.34375,2.58E-08
478,1382.25,0.3535,2.56E-08
479,1382.25,0.36325,2.54E-08
480,1382.25,0.373,2.52E-08
481,1382.25,0.38275,2.51E-08
482,1382.25,0.3925,2.49E-08
483,1382.25,0.40225,2.47E-08
484,1382.25,0.412,2.45E-08
485,1382.25,0.42175,2.43E-08
486,1382.25,0.4315,2.41E-08
487,1382.25,0.44125,2.39E-08
488,1382.25,0.451,2.37E-08
489,1382.25,0.46075,2.35E-08
490,1382.25,0.4705,2.33E-08
491,1382.25,0.48025,2.32E-08
492,1382.25,0.49,2.30E-08
493,1507,0.1,2.74E-08
494,1507,0.10975,2.73E-08
495,1507,0.1195,2.72E-08
496,1507,0.12925,2.70E-08
497,1507,0.139,2.69E-08
498,1507,0.14875,2.67E-08
499,1507,0.1585,2.66E-08
500,1507,0.16825,2.64E-08
501,1507,0.178,2.63E-08
502,1507,0.18775,2.61E-08
503,1507,0.1975,2.59E-08
504,1507,0.20725,2.58E-08
505,1507,0.217,2.56E-08
506,1507,0.22675,2.54E-08
507,1507,0.2365,2.52E-08
508,1507,0.24625,2.50E-08
509,1507,0.256,2.49E-08
510,1507,0.26575,2.47E-08
511,1507,0.2755,2.45E-08
512,1507,0.28525,2.43E-08
513,1507,0.295,2.41E-08
514,1507,0.30475,2.39E-08
515,1507,0.3145,2.37E-08
516,1507,0.32425,2.35E-08
517,1507,0.334,2.33E-08
518,1507,0.34375,2.31E-08
519,1507,0.3535,2.29E-08
520,1507,0.36325,2.27E-08
521,1507,0.373,2.25E-08
522,1507,0.38275,2.22E-08
523,1507,0.3925,2.20E-08
524,1507,0.40225,2.18E-08
525,1507,0.412,2.16E-08
526,1507,0.42175,2.14E-08
527,1507,0.4315,2.12E-08
528,1507,0.44125,2.10E-08
529,1507,0.451,2.08E-08
530,1507,0.46075,2.06E-08
531,1507,0.4705,2.04E-08
532,1507,0.48025,2.02E-08
533,1507,0.49,2.00E-08
534,1631.75,0.1,2.50E-08
535,1631.75,0.10975,2.49E-08
536,1631.75,0.1195,2.48E-08
537,1631.75,0.12925,2.46E-08
538,1631.75,0.139,2.44E-08
539,1631.75,0.14875,2.43E-08
540,1631.75,0.1585,2.41E-08
541,1631.75,0.16825,2.40E-08
542,1631.75,0.178,2.38E-08
543,1631.75,0.18775,2.36E-08
544,1631.75,0.1975,2.34E-08
545,1631.75,0.20725,2.32E-08
546,1631.75,0.217,2.31E-08
547,1631.75,0.22675,2.29E-08
548,1631.75,0.2365,2.27E-08
549,1631.75,0.24625,2.25E-08
550,1631.75,0.256,2.23E-08
551,1631.75,0.26575,2.21E-08
552,1631.75,0.2755,2.19E-08
553,1631.75,0.28525,2.16E-08
554,1631.75,0.295,2.14E-08
555,1631.75,0.30475,2.12E-08
556,1631.75,0.3145,2.10E-08
557,1631.75,0.32425,2.08E-08
558,1631.75,0.334,2.06E-08
559,1631.75,0.34375,2.03E-08
560,1631.75,0.3535,2.01E-08
561,1631.75,0.36325,1.99E-08
562,1631.75,0.373,1.97E-08
563,1631.75,0.38275,1.94E-08
564,1631.75,0.3925,1.92E-08
565,1631.75,0.40225,1.90E-08
566,1631.75,0.412,1.88E-08
567,1631.75,0.42175,1.85E-08
568,1631.75,0.4315,1.83E-08
569,1631.75,0.44125,1.81E-08
570,1631.75,0.451,1.78E-08
571,1631.75,0.46075,1.76E-08
572,1631.75,0.4705,1.74E-08
573,1631.75,0.48025,1.72E-08
574,1631.75,0.49,1.70E-08
575,1756.5,0.1,2.27E-08
576,1756.5,0.10975,2.25E-08
577,1756.5,0.1195,2.24E-08
578,1756.5,0.12925,2.22E-08
579,1756.5,0.139,2.20E-08
580,1756.5,0.14875,2.18E-08
